donor,modality,filename,url,bytes,sha256
donor1,contigs,vdj_v1_hs_aggregated_donor1_all_contig_annotations.csv,https://cf.10xgenomics.com/samples/cell-vdj/3.0.2/vdj_v1_hs_aggregated_donor1/vdj_v1_hs_aggregated_donor1_all_contig_annotations.csv,33851101,4a7c550dd0d0d94599fc594dccbbf7dc2400f5e25fd0280fcc79febd3b2cc787
donor1,binarized,vdj_v1_hs_aggregated_donor1_binarized_matrix.csv,https://cf.10xgenomics.com/samples/cell-vdj/3.0.2/vdj_v1_hs_aggregated_donor1/vdj_v1_hs_aggregated_donor1_binarized_matrix.csv,33827318,f3f915f427741275d0542da245dcb7d877923af346f2cc300d60682a32efdf7a
donor1,gex,vdj_v1_hs_aggregated_donor1_filtered_feature_bc_matrix.tar.gz,https://cf.10xgenomics.com/samples/cell-vdj/3.0.2/vdj_v1_hs_aggregated_donor1/vdj_v1_hs_aggregated_donor1_filtered_feature_bc_matrix.tar.gz,296410621,5f4a1bbd7bce3ead447624497026743e2c1667f5077afefdcd04cfb3e12cde35
donor2,contigs,vdj_v1_hs_aggregated_donor2_all_contig_annotations.csv,https://cf.10xgenomics.com/samples/cell-vdj/3.0.2/vdj_v1_hs_aggregated_donor2/vdj_v1_hs_aggregated_donor2_all_contig_annotations.csv,53357938,951c277c3757e028d4d3225120a9ef1c760121767d13e682dd4e3b20729c0a11
donor2,binarized,vdj_v1_hs_aggregated_donor2_binarized_matrix.csv,https://cf.10xgenomics.com/samples/cell-vdj/3.0.2/vdj_v1_hs_aggregated_donor2/vdj_v1_hs_aggregated_donor2_binarized_matrix.csv,55908018,34dd587a9cee590044f0fead74fd88a85ab74024ff961980f43c0490246b047c
donor2,gex,vdj_v1_hs_aggregated_donor2_filtered_feature_bc_matrix.tar.gz,https://cf.10xgenomics.com/samples/cell-vdj/3.0.2/vdj_v1_hs_aggregated_donor2/vdj_v1_hs_aggregated_donor2_filtered_feature_bc_matrix.tar.gz,510367777,5728efccb42b0ece4d58e3eb5c107ba1bc7c894323e36b311c38fca7b9e3aa23
donor3,contigs,vdj_v1_hs_aggregated_donor3_all_contig_annotations.csv,https://cf.10xgenomics.com/samples/cell-vdj/3.0.2/vdj_v1_hs_aggregated_donor3/vdj_v1_hs_aggregated_donor3_all_contig_annotations.csv,73908094,73f0a6ab50e88b0d94fdd86aba56c3d87dc6c1a7e74155bff09fd2a585620ce3
donor3,binarized,vdj_v1_hs_aggregated_donor3_binarized_matrix.csv,https://cf.10xgenomics.com/samples/cell-vdj/3.0.2/vdj_v1_hs_aggregated_donor3/vdj_v1_hs_aggregated_donor3_binarized_matrix.csv,27610984,cc719ba4935a84fbe25f21ab5066dc565e9a3107375d96cd38f0d8c72fc45783
donor3,gex,vdj_v1_hs_aggregated_donor3_filtered_feature_bc_matrix.tar.gz,https://cf.10xgenomics.com/samples/cell-vdj/3.0.2/vdj_v1_hs_aggregated_donor3/vdj_v1_hs_aggregated_donor3_filtered_feature_bc_matrix.tar.gz,270871692,3919b3ffbc6fae5c6670ddc356831b302a88c4c796114335e44944e21c03744a
donor4,contigs,vdj_v1_hs_aggregated_donor4_all_contig_annotations.csv,https://cf.10xgenomics.com/samples/cell-vdj/3.0.2/vdj_v1_hs_aggregated_donor4/vdj_v1_hs_aggregated_donor4_all_contig_annotations.csv,53340485,824cfe2af0e2e44256383b6e5953e30bda3ed5e39dc7dc323dde3eebaff229ec
donor4,binarized,vdj_v1_hs_aggregated_donor4_binarized_matrix.csv,https://cf.10xgenomics.com/samples/cell-vdj/3.0.2/vdj_v1_hs_aggregated_donor4/vdj_v1_hs_aggregated_donor4_binarized_matrix.csv,20022585,e918ee227e0b75a59336534bcfca79325583a73be0d3c9fded92d000a2ebe5b5
donor4,gex,vdj_v1_hs_aggregated_donor4_filtered_feature_bc_matrix.tar.gz,https://cf.10xgenomics.com/samples/cell-vdj/3.0.2/vdj_v1_hs_aggregated_donor4/vdj_v1_hs_aggregated_donor4_filtered_feature_bc_matrix.tar.gz,174818443,f70b88e8f4f7c24e0054844b43a7abadc2883b8f0bb9a38e68b198e05976fc72
