"trial_id","dataset_id","output_type","backend","success","failure_stage","error","elapsed_seconds","process_elapsed_seconds","input_bytes","output_bytes","artifact_hash","report_identity","report_path","profile","cell_id","source_kind","fixture","repetition","measured","available"
"public_pbmc_expression_embedded_crb_r0","pbmc_expression","CRB","embedded",TRUE,,,2.289,9.858,6773024,678075,"5a7e67a69349f29c9830e73432df3435","e44ae47b5e6c166e22be971fa31c152d","reports/public_pbmc_expression_embedded_crb_r0.json","publication","public_pbmc_expression_embedded_crb","public","pbmc_expression",0,FALSE,TRUE
"public_pbmc_expression_h5_crb_r0","pbmc_expression","CRB","h5",TRUE,,,2.335,9.691,6773024,140275,"890e9fc9274a5207976f7365a519ffd1","e09574e8a7d8d408f5a065a8603b4348","reports/public_pbmc_expression_h5_crb_r0.json","publication","public_pbmc_expression_h5_crb","public","pbmc_expression",0,FALSE,TRUE
"public_pbmc_expression_bpcells_crb_r0","pbmc_expression","CRB","bpcells",TRUE,,,2.458,9.726,6773024,261620,"4bc3f0aab824b678ffe7947abc1fe709","449c69979931164e5e27c153d4bff06e","reports/public_pbmc_expression_bpcells_crb_r0.json","publication","public_pbmc_expression_bpcells_crb","public","pbmc_expression",0,FALSE,TRUE
"public_visium_brain_crb_r0","visium_brain","CRB","embedded",TRUE,,,3.352,10.696,24356400,5708432,"073e9d297e79a57c85876010d23d8cda","df5ec5d315aa79c221812becb4f5a152","reports/public_visium_brain_crb_r0.json","publication","public_visium_brain_crb","public","visium_brain",0,FALSE,TRUE
"public_pbmc_vdj_crb_r0","pbmc_vdj","CRB","embedded",TRUE,,,2.357,9.807,9804728,982078,"329382c15385a18c950b2736e4f5031e","9d8491760e119fea200c878934d7495d","reports/public_pbmc_vdj_crb_r0.json","publication","public_pbmc_vdj_crb","public","pbmc_vdj",0,FALSE,TRUE
"composite_public_app_r0","pbmc_expression+visium_brain","public_app","embedded",TRUE,,,6.628,14.047,31129176,6384290,"296f8de8a6657af244671071eaf65fcd","600ac12234f82469a642a4da9363c241","reports/composite_public_app_r0.json","publication","composite_public_app","composite","pbmc_expression+visium_brain",0,FALSE,TRUE
"composite_login_app_r0","pbmc_expression+pbmc_vdj","login_app","embedded",TRUE,,,5.473,14.3,16577488,1658073,"24d134777847cf5a02dc3db73618d954","0976b218d0c263e73218c69feebfdda0","reports/composite_login_app_r0.json","publication","composite_login_app","composite","pbmc_expression+pbmc_vdj",0,FALSE,TRUE
"public_pbmc_expression_h5_crb_r1","pbmc_expression","CRB","h5",TRUE,,,2.325,9.612,6773024,140275,"890e9fc9274a5207976f7365a519ffd1","e09574e8a7d8d408f5a065a8603b4348","reports/public_pbmc_expression_h5_crb_r1.json","publication","public_pbmc_expression_h5_crb","public","pbmc_expression",1,TRUE,TRUE
"public_pbmc_expression_bpcells_crb_r1","pbmc_expression","CRB","bpcells",TRUE,,,2.394,9.892,6773024,261620,"302b4ced1504cf1c23bf8e87e8204b4c","449c69979931164e5e27c153d4bff06e","reports/public_pbmc_expression_bpcells_crb_r1.json","publication","public_pbmc_expression_bpcells_crb","public","pbmc_expression",1,TRUE,TRUE
"public_visium_brain_crb_r1","visium_brain","CRB","embedded",TRUE,,,3.357,10.6,24356400,5708432,"073e9d297e79a57c85876010d23d8cda","df5ec5d315aa79c221812becb4f5a152","reports/public_visium_brain_crb_r1.json","publication","public_visium_brain_crb","public","visium_brain",1,TRUE,TRUE
"public_pbmc_vdj_crb_r1","pbmc_vdj","CRB","embedded",TRUE,,,2.33,9.63799999999998,9804728,982078,"329382c15385a18c950b2736e4f5031e","9d8491760e119fea200c878934d7495d","reports/public_pbmc_vdj_crb_r1.json","publication","public_pbmc_vdj_crb","public","pbmc_vdj",1,TRUE,TRUE
"composite_public_app_r1","pbmc_expression+visium_brain","public_app","embedded",TRUE,,,6.476,13.813,31129176,6384290,"296f8de8a6657af244671071eaf65fcd","600ac12234f82469a642a4da9363c241","reports/composite_public_app_r1.json","publication","composite_public_app","composite","pbmc_expression+visium_brain",1,TRUE,TRUE
"composite_login_app_r1","pbmc_expression+pbmc_vdj","login_app","embedded",TRUE,,,5.484,14.124,16577488,1658073,"24d134777847cf5a02dc3db73618d954","0976b218d0c263e73218c69feebfdda0","reports/composite_login_app_r1.json","publication","composite_login_app","composite","pbmc_expression+pbmc_vdj",1,TRUE,TRUE
"public_pbmc_expression_embedded_crb_r1","pbmc_expression","CRB","embedded",TRUE,,,2.314,9.733,6773024,678075,"5a7e67a69349f29c9830e73432df3435","e44ae47b5e6c166e22be971fa31c152d","reports/public_pbmc_expression_embedded_crb_r1.json","publication","public_pbmc_expression_embedded_crb","public","pbmc_expression",1,TRUE,TRUE
"public_pbmc_expression_bpcells_crb_r2","pbmc_expression","CRB","bpcells",TRUE,,,2.451,9.751,6773024,261620,"81caaba65d8b7082cd0b2d3cf78843a6","449c69979931164e5e27c153d4bff06e","reports/public_pbmc_expression_bpcells_crb_r2.json","publication","public_pbmc_expression_bpcells_crb","public","pbmc_expression",2,TRUE,TRUE
"public_visium_brain_crb_r2","visium_brain","CRB","embedded",TRUE,,,3.364,10.729,24356400,5708432,"073e9d297e79a57c85876010d23d8cda","df5ec5d315aa79c221812becb4f5a152","reports/public_visium_brain_crb_r2.json","publication","public_visium_brain_crb","public","visium_brain",2,TRUE,TRUE
"public_pbmc_vdj_crb_r2","pbmc_vdj","CRB","embedded",TRUE,,,2.389,9.84999999999999,9804728,982078,"329382c15385a18c950b2736e4f5031e","9d8491760e119fea200c878934d7495d","reports/public_pbmc_vdj_crb_r2.json","publication","public_pbmc_vdj_crb","public","pbmc_vdj",2,TRUE,TRUE
"composite_public_app_r2","pbmc_expression+visium_brain","public_app","embedded",TRUE,,,6.581,13.972,31129176,6384290,"296f8de8a6657af244671071eaf65fcd","600ac12234f82469a642a4da9363c241","reports/composite_public_app_r2.json","publication","composite_public_app","composite","pbmc_expression+visium_brain",2,TRUE,TRUE
"composite_login_app_r2","pbmc_expression+pbmc_vdj","login_app","embedded",TRUE,,,5.562,14.359,16577488,1658073,"24d134777847cf5a02dc3db73618d954","0976b218d0c263e73218c69feebfdda0","reports/composite_login_app_r2.json","publication","composite_login_app","composite","pbmc_expression+pbmc_vdj",2,TRUE,TRUE
"public_pbmc_expression_embedded_crb_r2","pbmc_expression","CRB","embedded",TRUE,,,2.225,9.53700000000001,6773024,678075,"5a7e67a69349f29c9830e73432df3435","e44ae47b5e6c166e22be971fa31c152d","reports/public_pbmc_expression_embedded_crb_r2.json","publication","public_pbmc_expression_embedded_crb","public","pbmc_expression",2,TRUE,TRUE
"public_pbmc_expression_h5_crb_r2","pbmc_expression","CRB","h5",TRUE,,,2.321,9.64500000000004,6773024,140275,"890e9fc9274a5207976f7365a519ffd1","e09574e8a7d8d408f5a065a8603b4348","reports/public_pbmc_expression_h5_crb_r2.json","publication","public_pbmc_expression_h5_crb","public","pbmc_expression",2,TRUE,TRUE
