"trial_id","fixture","capability","truth","detected","valid","observed","outcome"
"profile-minimal","minimal","marker_genes",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-minimal","minimal","most_expressed_genes",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-minimal","minimal","mean_expression",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-minimal","minimal","enriched_pathways",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-minimal","minimal","trajectory",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-minimal","minimal","extra_material",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-minimal","minimal","immune_repertoire",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-minimal","minimal","hla",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-minimal","minimal","spatial",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-minimal","minimal","trekker",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-multi_assay","multi_assay","marker_genes",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-multi_assay","multi_assay","most_expressed_genes",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-multi_assay","multi_assay","mean_expression",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-multi_assay","multi_assay","enriched_pathways",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-multi_assay","multi_assay","trajectory",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-multi_assay","multi_assay","extra_material",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-multi_assay","multi_assay","immune_repertoire",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-multi_assay","multi_assay","hla",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-multi_assay","multi_assay","spatial",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-multi_assay","multi_assay","trekker",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-spatial","spatial","marker_genes",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-spatial","spatial","most_expressed_genes",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-spatial","spatial","mean_expression",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-spatial","spatial","enriched_pathways",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-spatial","spatial","trajectory",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-spatial","spatial","extra_material",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-spatial","spatial","immune_repertoire",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-spatial","spatial","hla",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-spatial","spatial","spatial",TRUE,TRUE,TRUE,TRUE,"TP"
"profile-spatial","spatial","trekker",TRUE,TRUE,TRUE,TRUE,"TP"
"profile-spatial_b","spatial_b","marker_genes",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-spatial_b","spatial_b","most_expressed_genes",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-spatial_b","spatial_b","mean_expression",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-spatial_b","spatial_b","enriched_pathways",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-spatial_b","spatial_b","trajectory",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-spatial_b","spatial_b","extra_material",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-spatial_b","spatial_b","immune_repertoire",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-spatial_b","spatial_b","hla",FALSE,FALSE,TRUE,FALSE,"TN"
"profile-spatial_b","spatial_b","spatial",TRUE,TRUE,TRUE,TRUE,"TP"
