"cluster","gene","avg_log2FC","pct.1","pct.2","p_val_adj","on_cell_surface"
"T cell","Gene001",2.5,0.95,0.25,1e-08,TRUE
"T cell","Gene002",2.35555555555556,0.922222222222222,0.272222222222222,1.112e-05,FALSE
"T cell","Gene003",2.21111111111111,0.894444444444444,0.294444444444444,2.223e-05,TRUE
"T cell","Gene004",2.06666666666667,0.866666666666667,0.316666666666667,3.334e-05,FALSE
"T cell","Gene005",1.92222222222222,0.838888888888889,0.338888888888889,4.445e-05,TRUE
"T cell","Gene006",1.77777777777778,0.811111111111111,0.361111111111111,5.556e-05,FALSE
"T cell","Gene007",1.63333333333333,0.783333333333333,0.383333333333333,6.667e-05,TRUE
"T cell","Gene008",1.48888888888889,0.755555555555556,0.405555555555556,7.778e-05,FALSE
"T cell","Gene009",1.34444444444444,0.727777777777778,0.427777777777778,8.889e-05,TRUE
"T cell","Gene010",1.2,0.7,0.45,1e-04,FALSE
"B cell","Gene011",2.5,0.95,0.25,1e-08,TRUE
"B cell","Gene012",2.35555555555556,0.922222222222222,0.272222222222222,1.112e-05,FALSE
"B cell","Gene013",2.21111111111111,0.894444444444444,0.294444444444444,2.223e-05,TRUE
"B cell","Gene014",2.06666666666667,0.866666666666667,0.316666666666667,3.334e-05,FALSE
"B cell","Gene015",1.92222222222222,0.838888888888889,0.338888888888889,4.445e-05,TRUE
"B cell","Gene016",1.77777777777778,0.811111111111111,0.361111111111111,5.556e-05,FALSE
"B cell","Gene017",1.63333333333333,0.783333333333333,0.383333333333333,6.667e-05,TRUE
"B cell","Gene018",1.48888888888889,0.755555555555556,0.405555555555556,7.778e-05,FALSE
"B cell","Gene019",1.34444444444444,0.727777777777778,0.427777777777778,8.889e-05,TRUE
"B cell","Gene020",1.2,0.7,0.45,1e-04,FALSE
"Myeloid","Gene021",2.5,0.95,0.25,1e-08,TRUE
"Myeloid","Gene022",2.35555555555556,0.922222222222222,0.272222222222222,1.112e-05,FALSE
"Myeloid","Gene023",2.21111111111111,0.894444444444444,0.294444444444444,2.223e-05,TRUE
"Myeloid","Gene024",2.06666666666667,0.866666666666667,0.316666666666667,3.334e-05,FALSE
"Myeloid","Gene025",1.92222222222222,0.838888888888889,0.338888888888889,4.445e-05,TRUE
"Myeloid","Gene026",1.77777777777778,0.811111111111111,0.361111111111111,5.556e-05,FALSE
"Myeloid","Gene027",1.63333333333333,0.783333333333333,0.383333333333333,6.667e-05,TRUE
"Myeloid","Gene028",1.48888888888889,0.755555555555556,0.405555555555556,7.778e-05,FALSE
"Myeloid","Gene029",1.34444444444444,0.727777777777778,0.427777777777778,8.889e-05,TRUE
"Myeloid","Gene030",1.2,0.7,0.45,1e-04,FALSE
"Stromal","Gene031",2.5,0.95,0.25,1e-08,TRUE
"Stromal","Gene032",2.35555555555556,0.922222222222222,0.272222222222222,1.112e-05,FALSE
"Stromal","Gene033",2.21111111111111,0.894444444444444,0.294444444444444,2.223e-05,TRUE
"Stromal","Gene034",2.06666666666667,0.866666666666667,0.316666666666667,3.334e-05,FALSE
"Stromal","Gene035",1.92222222222222,0.838888888888889,0.338888888888889,4.445e-05,TRUE
"Stromal","Gene036",1.77777777777778,0.811111111111111,0.361111111111111,5.556e-05,FALSE
"Stromal","Gene037",1.63333333333333,0.783333333333333,0.383333333333333,6.667e-05,TRUE
"Stromal","Gene038",1.48888888888889,0.755555555555556,0.405555555555556,7.778e-05,FALSE
"Stromal","Gene039",1.34444444444444,0.727777777777778,0.427777777777778,8.889e-05,TRUE
"Stromal","Gene040",1.2,0.7,0.45,1e-04,FALSE
