Metrics,Value
Sample_ID,Mouse_Brain_TrekkerU_C
Single_cell_assay,TrekkerU_C
Tile_ID,U0016_004
eps,50
Min_spatial_barcodes_used_to_locate_a_nucleus_centroid,5
Maximum_UMI_cutoff,256
Total_nuclei_from_single-nuclei_sequencing_library,11886
Nuclei_from_single-nuclei_sequencing_library_found_in_Trekker_library,11886
Pct_nuclei_in_Trekker_library,100.00
Nuclei_from_single-nuclei_sequencing_library_found_in_Trekker_library_with_valid_spatial_barcodes,11886
Pct_nuclei_in_Trekker_library_with_valid_spatial_barcodes,100.00
Total_nuclei_positioned,10101
Pct_nuclei_positioned,84.98
Total_nuclei_positioned_with_1_spatial_location,7420
Pct_nuclei_positioned_with_1_spatial_location,62.43
Pct_nuclei_positioned_with_2+_spatial_locations,22.56
Total_readpairs_in_Trekker_library,106959613
Readpairs_with_proper_structure,103200265
Pct_readpairs_with_proper_structure,96.49
Readpairs_used_for_matching_to_single_nuclei_barcodes,103200265
Readpairs_matched_single_nuclei_barcodes,17268221
Pct_readpairs_matched_to_single_nuclei_barcodes,16.14
Readpairs_matched_to_single_nuclei_barcodes_with_valid_spatial_barcodes,15303379
Pct_readpairs_matched_to_single_nuclei_barcodes_with_valid_spatial_barcodes,88.62
Pct_useful_reads,14.31
Total_sequenced_spatial_barcodes,1797440
Sequenced_spatial_barcodes_perfectly_matched_to_whitelist,574666
Sequenced_spatial_barcodes_approximately_matched_to_whitelist,735913
Pct_valid_spatial_barcodes,72.91
Median_spatial_barcodes_per_nuclei,836
Mean_spatial_barcodes_per_nuclei,860
Median_spatial_barcodes_UMI_per_nuclei,905
Mean_spatial_barcodes_UMI_per_nuclei,992
Median_reads_per_nuclei,1293
Mean_reads_per_nuclei,1453
Median_useful_reads_per_nuclei,1149
Mean_useful_reads_per_nuclei,1288
Median_proportion_unique_sb_top_cluster_total,0.0247
Mean_proportion_unique_sb_top_cluster_total,0.0305
Median_proportion_sb_umi_top_cluster_total,0.0605
Mean_proportion_sb_umi_top_cluster_total,0.1125
Median_mapped_cells_proportion_unique_sb_top_cluster,0.0304
Mean_mapped_cells_proportion_unique_sb_top_cluster,0.0357
Median_mapped_cells_proportion_sb_umi_top_cluster,0.0863
Mean_mapped_cells_proportion_sb_umi_top_cluster,0.1309
Nuclei_with_invalid_spatial_barcodes,0
Nuclei_0,1785
Nuclei_1,7420
Nuclei_2,1755
Nuclei_3,527
Nuclei_>=4,399
pct_with_invalid_spatial_barcodes,0.00
pct_0,15.02
pct_1,62.43
pct_2,14.77
pct_3,4.43
pct_>=4,3.36
Nuclei_o_1,7156
Nuclei_o_2,2008
Nuclei_o_3,538
Nuclei_o_>=4,399
pct_o_1,60.21
pct_o_2,16.89
pct_o_3,4.53
pct_o_4,3.36
Nuclei_salvaged_2,253
Nuclei_salvaged_3,11
Nuclei_salvaged_>=4,0
Pct_nuclei_salvaged_from_2_spatial_locations,2.13
Pct_nuclei_salvaged_from_3_spatial_locations,0.09
Pct_nuclei_salvaged_from_4+_spatial_locations,0.00
Pct_nuclei_salvaged,2.22
