,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
Dpp10,0,2.13340463827779,0.985,0.698,0,0,Dpp10
Nrg1,0,1.69041454375322,0.97,0.716,0,0,Nrg1
Ptprd,0,1.52065012372504,0.993,0.935,0,0,Ptprd
Kcnq5,0,1.42148263719984,0.919,0.486,0,0,Kcnq5
Pdzrn3,0,1.35771517915645,0.658,0.086,0,0,Pdzrn3
Kcnip4,0,1.33027055535593,0.988,0.886,0,0,Kcnip4
Unc5d,0,0.866950198740319,0.757,0.279,0,0,Unc5d
Celf2,3.24362845176701e-291,1.01865404082058,0.992,0.937,6.9329314528068e-287,0,Celf2
Syt1,2.2452830998336e-203,0.670798499709303,0.983,0.918,4.79906809758434e-199,0,Syt1
Csmd1,3.71854322475935e-203,0.700941647069268,0.991,0.956,7.94801428860062e-199,0,Csmd1
Rgs6,9.83066942790812e-199,0.81824639032596,0.633,0.277,2.10120728352108e-194,0,Rgs6
Dlg2,6.16769631388237e-192,0.63896121449561,0.995,0.968,1.31828341012922e-187,0,Dlg2
Hs6st3,6.05862705911e-169,0.845836276047127,0.778,0.501,1.29497094761417e-164,0,Hs6st3
Nrg3,2.29419781592862e-132,0.505110727991706,0.99,0.956,4.90361841176583e-128,0,Nrg3
Tenm2,9.75925880666154e-119,0.450217067571253,0.985,0.929,2.08594397733584e-114,0,Tenm2
Fgf14,3.40662549514584e-117,0.489538143257683,0.983,0.96,7.28132133332471e-113,0,Fgf14
Nrxn3,1.37383607216612e-112,0.500191120889372,0.955,0.868,2.93643722064787e-108,0,Nrxn3
Lrrtm4,1.09957924862219e-83,0.554776249611333,0.922,0.853,2.35024068600507e-79,0,Lrrtm4
Cadm2,2.39323901583051e-77,0.353115895790819,0.98,0.939,5.11530907243613e-73,0,Cadm2
Tshz2,1.05154529211786e-69,1.02259080121656,0.323,0.17,2.24757290737272e-65,0,Tshz2
Cntn5,3.8008419851217e-50,0.33333501280382,0.718,0.573,8.12391965899912e-46,0,Cntn5
Opcml,2.30347277946277e-45,0.270230688601437,0.957,0.913,4.92344271882372e-41,0,Opcml
Il1rapl1,2.29232732546162e-43,0.337630197749255,0.926,0.898,4.89962042544166e-39,0,Il1rapl1
