	MoransI_observed	MoransI_p.value	moransi.spatially.variable	moransi.spatially.variable.rank
Dgkb	0.260254323904964	0.000975609756097561	TRUE	1
Dpp10	0.255391445185478	0.000975609756097561	TRUE	2
Tshz2	0.237752595953092	0.000975609756097561	TRUE	3
Synpo2	0.226282593676366	0.000975609756097561	TRUE	4
Rmst	0.216237715671504	0.000975609756097561	TRUE	5
Pdzrn3	0.214610910834907	0.000975609756097561	TRUE	6
6530403H02Rik	0.212931783086137	0.000975609756097561	TRUE	7
Zfhx3	0.210970887222424	0.000975609756097561	TRUE	8
Ntng1	0.201281453355443	0.000975609756097561	TRUE	9
Tafa1	0.192695569911619	0.000975609756097561	TRUE	10
Vav3	0.191216287233053	0.000975609756097561	TRUE	11
Epha6	0.185816064080653	0.000975609756097561	TRUE	12
Ptprd	0.176518070788075	0.000975609756097561	TRUE	13
Hs6st3	0.173471925994471	0.000975609756097561	TRUE	14
Nrg1	0.169259795057919	0.000975609756097561	TRUE	15
Zbtb20	0.164356626949828	0.000975609756097561	TRUE	16
Kcnq5	0.160046907348356	0.000975609756097561	TRUE	17
Plekhg1	0.157692678929883	0.000975609756097561	TRUE	18
Inpp4b	0.157433469038708	0.000975609756097561	TRUE	19
Cdh18	0.149904165303517	0.000975609756097561	TRUE	20
Unc5d	0.148903553360924	0.000975609756097561	TRUE	21
Cntn5	0.147548668041164	0.000975609756097561	TRUE	22
Kcnip4	0.145235361328614	0.000975609756097561	TRUE	23
Rgs6	0.144155209818343	0.000975609756097561	TRUE	24
Lrrtm4	0.141327949705743	0.000975609756097561	TRUE	25
Unc13c	0.139998278479217	0.000975609756097561	TRUE	26
Klhl1	0.139993954750032	0.000975609756097561	TRUE	27
Robo1	0.139687083971516	0.000975609756097561	TRUE	28
Nell1	0.139331150238945	0.000975609756097561	TRUE	29
Dach1	0.136874256547631	0.000975609756097561	TRUE	30
Glis3	0.134921808794116	0.000975609756097561	TRUE	31
Hs3st4	0.124259170673427	0.000975609756097561	TRUE	33
Lsamp	0.110413570711196	0.000975609756097561	TRUE	40
1700042O10Rik	0.109422733618647	0.000975609756097561	TRUE	41
Foxp2	0.105492612716646	0.000975609756097561	TRUE	43
Nrxn3	0.0783688096253074	0.000975609756097561	TRUE	54
Maml2	0.0739661217052642	0.000975609756097561	TRUE	59
Lhfpl3	0.0635131887088952	0.000975609756097561	TRUE	73
Plp1	0.062519993931214	0.000975609756097561	TRUE	76
Plcl1	0.060344154471028	0.000975609756097561	TRUE	79
Cntnap2	0.0597881955232118	0.000975609756097561	TRUE	80
Lef1	0.059100943034301	0.000975609756097561	TRUE	81
Pde4b	0.0554678848667872	0.000975609756097561	TRUE	85
Bnc2	0.0433459963688665	0.000975609756097561	TRUE	101
Nxph1	0.0354674763641081	0.000975609756097561	TRUE	110
Grip1	0.0350872468376063	0.000975609756097561	TRUE	111
Wdr17	0.02413380815449	0.000975609756097561	TRUE	124
Slc1a2	0.0228700547777289	0.000975609756097561	TRUE	127
Erbb4	0.0167428884128349	0.000975609756097561	TRUE	137
Sox6	0.0137841714886298	0.000975609756097561	TRUE	140
Gpc5	0.0113810297304322	0.00292682926829268	TRUE	151
Gm38505	0.0107832840302213	0.00682926829268293	TRUE	155
Flt1	0.0110642400954411	0.0107317073170732	TRUE	161
Mertk	0.0100013349974255	0.0136585365853659	TRUE	162
Tgfbr1	0.00900127876235082	0.0136585365853659	TRUE	163
Slco1a4	0.00881175464915335	0.0224390243902439	TRUE	166
Igf1r	0.00765816335361159	0.0390243902439024	TRUE	170
Slc47a1	0.00305088169119927	0.0497560975609756	TRUE	171
Inpp5d	0.00621598219140291	0.0536585365853659	TRUE	173
