"profile","source","n_cells","comparison","export_repeat","order_position","backend","access_repeats"
"publication","mouse_brain_e18",50000,TRUE,1,1,"embedded",2
"publication","mouse_brain_e18",50000,TRUE,1,2,"bpcells",2
"publication","mouse_brain_e18",50000,TRUE,1,3,"h5",2
"publication","mouse_brain_e18",50000,TRUE,2,1,"bpcells",2
"publication","mouse_brain_e18",50000,TRUE,2,2,"h5",2
"publication","mouse_brain_e18",50000,TRUE,2,3,"embedded",2
"publication","mouse_brain_e18",50000,TRUE,3,1,"h5",2
"publication","mouse_brain_e18",50000,TRUE,3,2,"embedded",2
"publication","mouse_brain_e18",50000,TRUE,3,3,"bpcells",2
"publication","mouse_brain_e18",150000,TRUE,1,1,"embedded",2
"publication","mouse_brain_e18",150000,TRUE,1,2,"bpcells",2
"publication","mouse_brain_e18",150000,TRUE,1,3,"h5",2
"publication","mouse_brain_e18",150000,TRUE,2,1,"bpcells",2
"publication","mouse_brain_e18",150000,TRUE,2,2,"h5",2
"publication","mouse_brain_e18",150000,TRUE,2,3,"embedded",2
"publication","mouse_brain_e18",150000,TRUE,3,1,"h5",2
"publication","mouse_brain_e18",150000,TRUE,3,2,"embedded",2
"publication","mouse_brain_e18",150000,TRUE,3,3,"bpcells",2
"publication","human_pfc_hbcc",50000,TRUE,1,1,"embedded",2
"publication","human_pfc_hbcc",50000,TRUE,1,2,"bpcells",2
"publication","human_pfc_hbcc",50000,TRUE,1,3,"h5",2
"publication","human_pfc_hbcc",50000,TRUE,2,1,"bpcells",2
"publication","human_pfc_hbcc",50000,TRUE,2,2,"h5",2
"publication","human_pfc_hbcc",50000,TRUE,2,3,"embedded",2
"publication","human_pfc_hbcc",50000,TRUE,3,1,"h5",2
"publication","human_pfc_hbcc",50000,TRUE,3,2,"embedded",2
"publication","human_pfc_hbcc",50000,TRUE,3,3,"bpcells",2
"publication","human_pfc_mssm",50000,TRUE,1,1,"embedded",2
"publication","human_pfc_mssm",50000,TRUE,1,2,"bpcells",2
"publication","human_pfc_mssm",50000,TRUE,1,3,"h5",2
"publication","human_pfc_mssm",50000,TRUE,2,1,"bpcells",2
"publication","human_pfc_mssm",50000,TRUE,2,2,"h5",2
"publication","human_pfc_mssm",50000,TRUE,2,3,"embedded",2
"publication","human_pfc_mssm",50000,TRUE,3,1,"h5",2
"publication","human_pfc_mssm",50000,TRUE,3,2,"embedded",2
"publication","human_pfc_mssm",50000,TRUE,3,3,"bpcells",2
