"key","value"
"run_id","20260805T214336Z-02ff3f0a971e-publication"
"profile","publication"
"generated_at","2026-08-06T03:12:11+0200"
"git_sha","02ff3f0a971e1c835ca0ee15294284375e1961f3"
"git_branch","perf/real-data-benchmark"
"git_dirty","false"
"dependency_environment","default.nix"
"dependency_environment_git_blob","644cd02319cc761f127c7dfdb8f4d8d6ac8ae96b"
"repository_version","3.2.0"
"r_version","R version 4.6.1 (2026-06-24)"
"r_platform","x86_64-pc-linux-gnu"
"os","Linux 6.8.0-117-generic #117-Ubuntu SMP PREEMPT_DYNAMIC Tue May  5 19:26:24 UTC 2026"
"cpu","Intel(R) Core(TM) i7-14700"
"logical_cores","28"
"memory_mb","128434.2"
"r_vector_limit_mb","Inf"
"package_Matrix","1.7.6"
"package_rhdf5","2.56.0"
"package_Seurat","5.5.1"
"package_SeuratObject","5.4.0"
"package_BPCells","0.3.1"
"package_HDF5Array","1.40.0"
"package_CerebroNexus","3.2.0"
